time="2026-09-22T09:01:10Z" level=warning msg="/home/runner/work/hms-nightly-integration/hms-nightly-integration/hms-simulation-environment/docker-compose.yaml: the attribute `version` is obsolete, it will be ignored, please remove it to avoid potential confusion"
time="2026-09-22T09:01:10Z" level=warning msg="/home/runner/work/hms-nightly-integration/hms-nightly-integration/hms-simulation-environment/docker-compose.hardware.yaml: the attribute `version` is obsolete, it will be ignored, please remove it to avoid potential confusion"
cray-reds-1  | 2026/09/22 08:29:26 Starting reds
cray-reds-1  | 2026/09/22 08:29:26 Configuration: instance name: edb1cd7d684d
cray-reds-1  | 2026/09/22 08:29:26 Configuration: http-listen: :8269
cray-reds-1  | 2026/09/22 08:29:26 Configuration: hsm: http://cray-smd:27779/hsm/v2
cray-reds-1  | 2026/09/22 08:29:26 Started reds
cray-reds-1  | 2026/09/22 08:29:26 Connecting to HSM secure store (Vault)...
cray-reds-1  | 2026/09/22 08:29:26 Connection to HSM secure store (Vault) succeeded
cray-reds-1  | 2026/09/22 08:29:26 Mapping connecting to secure storage (vault)
cray-reds-1  | 2026/09/22 08:29:26 Connection to secure store (Vault) succeeded
cray-reds-1  | 2026/09/22 08:29:56 TRACE: Getting list of new switches
cray-reds-1  | 2026/09/22 08:29:56 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_mgmt_switch
cray-reds-1  | 2026/09/22 08:29:56 TRACE: Getting list of new management nodes
cray-reds-1  | 2026/09/22 08:29:56 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_node&class=River&extra_properties.Role=Management
cray-reds-1  | 2026/09/22 08:29:56 INFO: Stored credential for x3000c0w31
cray-reds-1  | 2026/09/22 08:29:56 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_hl_switch
cray-reds-1  | 2026/09/22 08:29:56 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_cdu_mgmt_switch
cray-reds-1  | 2026/09/22 08:29:56 TRACE: Switches is map[]
cray-reds-1  | 2026/09/22 08:29:56 TRACE: New switches: map[x3000c0w31:{ Xname: x3000c0w31, Model: , Address: 10.254.0.8, SNMP User: testuser, SNMP Auth Password: <REDACTED>, SNMP Auth Protocol: MD5, SNMP Priv Password: <REDACTED>, SNMP Priv Protocol: DES }]
cray-reds-1  | 2026/09/22 08:29:56 TRACE: Checking if switch x3000c0w31 in new
cray-reds-1  | 2026/09/22 08:29:56 INFO: Found new switch x3000c0w31
cray-reds-1  | 2026/09/22 08:29:56 INFO: Switches changes, calling callbacks
cray-reds-1  | 2026/09/22 08:30:26 TRACE: Getting list of new switches
cray-reds-1  | 2026/09/22 08:30:26 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_mgmt_switch
cray-reds-1  | 2026/09/22 08:30:26 TRACE: Getting list of new management nodes
cray-reds-1  | 2026/09/22 08:30:26 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_node&class=River&extra_properties.Role=Management
cray-reds-1  | 2026/09/22 08:30:26 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_hl_switch
cray-reds-1  | 2026/09/22 08:30:26 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_cdu_mgmt_switch
cray-reds-1  | 2026/09/22 08:30:26 TRACE: Switches is map[x3000c0w31:{ Xname: x3000c0w31, Model: , Address: 10.254.0.8, SNMP User: testuser, SNMP Auth Password: <REDACTED>, SNMP Auth Protocol: MD5, SNMP Priv Password: <REDACTED>, SNMP Priv Protocol: DES }]
cray-reds-1  | 2026/09/22 08:30:26 TRACE: New switches: map[x3000c0w31:{ Xname: x3000c0w31, Model: , Address: 10.254.0.8, SNMP User: testuser, SNMP Auth Password: <REDACTED>, SNMP Auth Protocol: MD5, SNMP Priv Password: <REDACTED>, SNMP Priv Protocol: DES }]
cray-reds-1  | 2026/09/22 08:30:26 TRACE: Checking if switch x3000c0w31 in new
cray-reds-1  | 2026/09/22 08:30:26 TRACE: No switches changes, not calling callbacks
cray-reds-1  | 2026/09/22 08:30:56 TRACE: Getting list of new management nodes
cray-reds-1  | 2026/09/22 08:30:56 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_node&class=River&extra_properties.Role=Management
cray-reds-1  | 2026/09/22 08:30:56 TRACE: Getting list of new switches
cray-reds-1  | 2026/09/22 08:30:56 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_mgmt_switch
cray-reds-1  | 2026/09/22 08:30:56 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_hl_switch
cray-reds-1  | 2026/09/22 08:30:56 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_cdu_mgmt_switch
cray-reds-1  | 2026/09/22 08:30:56 TRACE: Switches is map[x3000c0w31:{ Xname: x3000c0w31, Model: , Address: 10.254.0.8, SNMP User: testuser, SNMP Auth Password: <REDACTED>, SNMP Auth Protocol: MD5, SNMP Priv Password: <REDACTED>, SNMP Priv Protocol: DES }]
cray-reds-1  | 2026/09/22 08:30:56 TRACE: New switches: map[x3000c0w31:{ Xname: x3000c0w31, Model: , Address: 10.254.0.8, SNMP User: testuser, SNMP Auth Password: <REDACTED>, SNMP Auth Protocol: MD5, SNMP Priv Password: <REDACTED>, SNMP Priv Protocol: DES }]
cray-reds-1  | 2026/09/22 08:30:56 TRACE: Checking if switch x3000c0w31 in new
cray-reds-1  | 2026/09/22 08:30:56 TRACE: No switches changes, not calling callbacks
cray-reds-1  | 2026/09/22 08:31:26 TRACE: Getting list of new switches
cray-reds-1  | 2026/09/22 08:31:26 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_mgmt_switch
cray-reds-1  | 2026/09/22 08:31:26 TRACE: Getting list of new management nodes
cray-reds-1  | 2026/09/22 08:31:26 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_node&class=River&extra_properties.Role=Management
cray-reds-1  | 2026/09/22 08:31:26 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_hl_switch
cray-reds-1  | 2026/09/22 08:31:26 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_cdu_mgmt_switch
cray-reds-1  | 2026/09/22 08:31:26 TRACE: Switches is map[x3000c0w31:{ Xname: x3000c0w31, Model: , Address: 10.254.0.8, SNMP User: testuser, SNMP Auth Password: <REDACTED>, SNMP Auth Protocol: MD5, SNMP Priv Password: <REDACTED>, SNMP Priv Protocol: DES }]
cray-reds-1  | 2026/09/22 08:31:26 TRACE: New switches: map[x3000c0w31:{ Xname: x3000c0w31, Model: , Address: 10.254.0.8, SNMP User: testuser, SNMP Auth Password: <REDACTED>, SNMP Auth Protocol: MD5, SNMP Priv Password: <REDACTED>, SNMP Priv Protocol: DES }]
cray-reds-1  | 2026/09/22 08:31:26 TRACE: Checking if switch x3000c0w31 in new
cray-reds-1  | 2026/09/22 08:31:26 TRACE: No switches changes, not calling callbacks
cray-reds-1  | 2026/09/22 08:31:56 TRACE: Getting list of new switches
cray-reds-1  | 2026/09/22 08:31:56 TRACE: Getting list of new management nodes
cray-reds-1  | 2026/09/22 08:31:56 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_mgmt_switch
cray-reds-1  | 2026/09/22 08:31:56 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_node&class=River&extra_properties.Role=Management
cray-reds-1  | 2026/09/22 08:31:56 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_hl_switch
cray-reds-1  | 2026/09/22 08:31:56 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_cdu_mgmt_switch
cray-reds-1  | 2026/09/22 08:31:56 TRACE: Switches is map[x3000c0w31:{ Xname: x3000c0w31, Model: , Address: 10.254.0.8, SNMP User: testuser, SNMP Auth Password: <REDACTED>, SNMP Auth Protocol: MD5, SNMP Priv Password: <REDACTED>, SNMP Priv Protocol: DES }]
cray-reds-1  | 2026/09/22 08:31:56 TRACE: New switches: map[x3000c0w31:{ Xname: x3000c0w31, Model: , Address: 10.254.0.8, SNMP User: testuser, SNMP Auth Password: <REDACTED>, SNMP Auth Protocol: MD5, SNMP Priv Password: <REDACTED>, SNMP Priv Protocol: DES }]
cray-reds-1  | 2026/09/22 08:31:56 TRACE: Checking if switch x3000c0w31 in new
cray-reds-1  | 2026/09/22 08:31:56 TRACE: No switches changes, not calling callbacks
cray-reds-1  | 2026/09/22 08:32:26 TRACE: Getting list of new management nodes
cray-reds-1  | 2026/09/22 08:32:26 TRACE: Getting list of new switches
cray-reds-1  | 2026/09/22 08:32:26 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_node&class=River&extra_properties.Role=Management
cray-reds-1  | 2026/09/22 08:32:26 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_mgmt_switch
cray-reds-1  | 2026/09/22 08:32:26 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_hl_switch
cray-reds-1  | 2026/09/22 08:32:26 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_cdu_mgmt_switch
cray-reds-1  | 2026/09/22 08:32:26 TRACE: Switches is map[x3000c0w31:{ Xname: x3000c0w31, Model: , Address: 10.254.0.8, SNMP User: testuser, SNMP Auth Password: <REDACTED>, SNMP Auth Protocol: MD5, SNMP Priv Password: <REDACTED>, SNMP Priv Protocol: DES }]
cray-reds-1  | 2026/09/22 08:32:26 TRACE: New switches: map[x3000c0w31:{ Xname: x3000c0w31, Model: , Address: 10.254.0.8, SNMP User: testuser, SNMP Auth Password: <REDACTED>, SNMP Auth Protocol: MD5, SNMP Priv Password: <REDACTED>, SNMP Priv Protocol: DES }]
cray-reds-1  | 2026/09/22 08:32:26 TRACE: Checking if switch x3000c0w31 in new
cray-reds-1  | 2026/09/22 08:32:26 TRACE: No switches changes, not calling callbacks
cray-reds-1  | 2026/09/22 08:32:56 TRACE: Getting list of new switches
cray-reds-1  | 2026/09/22 08:32:56 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_mgmt_switch
cray-reds-1  | 2026/09/22 08:32:56 TRACE: Getting list of new management nodes
